"tree_id","latitude","longitude","tree_dbh","spc_common","health"
"209604","40.72604885","-74.0013688","8","Sophora","Good"
"197808","40.74990766","-73.97627355","7","Sophora","Fair"
"202103","40.72624222","-73.98791547","20","Sophora","Fair"
"140565","40.74934221","-73.9732996","4","Callery pear","Good"
"208467","40.76445032","-73.98808249","13","Sophora","Good"
"202100","40.72637933","-73.98823942","19","Sophora","Good"
"208488","40.76350105","-73.9907847","13","Sophora","Good"
"208637","40.76329938","-73.9886641","11","Callery pear","Fair"
"202098","40.72658025","-73.98864366","17","Sophora","Good"
"140564","40.74938159","-73.97339305","8","Callery pear","Good"
"198987","40.76212638","-73.98753578","12","Callery pear","Good"
"206711","40.7390587","-73.97797657","7","Callery pear","Good"
"192356","40.7541827","-73.98702476","8","Callery pear","Good"
"177254","40.73459143","-73.97489384","2","common hackberry","Good"
"151925","40.74906872","-73.96964284","5","dawn redwood","Good"
"196036","40.74644236","-73.98005629","11","Sophora","Good"
"173774","40.73590952","-74.00570073","6","Norway maple","Fair"
"195370","40.73520321","-73.998529","9","Callery pear","Good"
"197810","40.75010038","-73.97672978","5","Callery pear","Poor"
"208493","40.76329248","-73.99028875","22","Sophora","Good"
"175288","40.76767075","-73.99127138","3","Norway maple","Good"
"206580","40.73885632","-73.98103266","5","Callery pear","Good"
"197806","40.74984288","-73.97612022","4","Callery pear","Fair"
"208491","40.76337219","-73.99047829","18","Sophora","Good"
"196066","40.76169539","-73.98845334","20","Sophora","Good"
"178407","40.73306471","-73.97551777","20","London planetree","Poor"
"197805","40.74969027","-73.97575896","6","Callery pear","Good"
"197456","40.74364861","-73.9808817","11","Callery pear","Fair"
"204931","40.73575265","-73.9756284","5","silver linden","Poor"
"208485","40.76367773","-73.99120483","10","Sophora","Good"
"208487","40.76354887","-73.99089842","13","Sophora","Fair"
"195984","40.74487554","-73.98516089","6","Callery pear","Fair"
"197809","40.75005613","-73.97662503","4","Callery pear","Poor"
"195439","40.73482571","-73.99912487","19","London planetree","Fair"
"208459","40.76368495","-73.9889443","16","Sophora","Good"
"171678","40.76007284","-73.98755607","4","Sophora","Good"
"171695","40.75843874","-73.98655303","2","sweetgum","Good"
"202048","40.72734976","-73.99046234","4","katsura tree","Fair"
"173825","40.73586576","-74.00338902","6","American elm","Good"
"147349","40.74869764","-73.99479007","3","'Schubert' chokecherry","Good"
"123606","40.7681669","-73.96596384","9","hawthorn","Good"
"208465","40.76368661","-73.98864557","15","Sophora","Good"
"208483","40.76388364","-73.99169446","13","Sophora","Good"
"208497","40.76309852","-73.98982756","15","Sophora","Good"
"174562","40.75426319","-73.96526815","2","hawthorn","Good"
"198957","40.76305418","-73.98909776","13","Callery pear","Good"
"182327","40.74516307","-73.99129258","6","Callery pear","Fair"
"175507","40.76271561","-73.97402582","4","ginkgo","Good"
"173828","40.73562561","-74.00331934","8","littleleaf linden","Good"
"149475","40.75202415","-73.97937114","5","littleleaf linden","Good"
"206512","40.73860106","-73.97878439","12","littleleaf linden","Good"
"206430","40.7383625","-73.9798443","9","Japanese zelkova","Good"
"195049","40.73729802","-73.98847247","3",,
"197455","40.74360835","-73.98078643","4","Japanese zelkova","Fair"
"178629","40.7471697","-73.97904057","7","littleleaf linden","Fair"
"208486","40.76364718","-73.99113218","10","Japanese zelkova","Good"
"206429","40.73832255","-73.97974799","9","Japanese zelkova","Good"
"202085","40.72755729","-73.99120012","10","Chinese elm","Fair"
"178627","40.74732116","-73.97892937","9","littleleaf linden","Good"
"203259","40.73337776","-73.98540436","3","littleleaf linden","Good"
"206510","40.73876673","-73.97917938","14","littleleaf linden","Good"
"206432","40.73843281","-73.98001379","5","Japanese zelkova","Good"
"202086","40.72746746","-73.99124991","9","Chinese elm","Fair"
"176895","40.73565395","-73.97927663","3","Japanese zelkova","Fair"
"203256","40.73364424","-73.98603694","4","littleleaf linden","Good"
"206370","40.73864","-73.98077282","3",,
"175595","40.76280218","-73.96387036","11","littleleaf linden","Good"
"149474","40.75207577","-73.97949445","5","littleleaf linden","Good"
"149476","40.75165931","-73.97849977","4","littleleaf linden","Fair"
"206511","40.73866786","-73.97894365","11","littleleaf linden","Good"
"220922","40.74449617","-73.97592239","0",,
"160748","40.73059462","-73.98608324","11","Japanese zelkova","Good"
"206509","40.73881312","-73.97928998","2","littleleaf linden","Good"
"202088","40.72730876","-73.99130776","10","Chinese elm","Good"
"171625","40.72812329","-73.97576559","2","honeylocust","Good"
"171626","40.72819295","-73.97571497","3","honeylocust","Good"
"202099","40.72646883","-73.9883804","15","Sophora","Good"
"202106","40.72608553","-73.98747475","20","Sophora","Good"
"206310","40.73702335","-73.97913065","5","littleleaf linden","Good"
"175389","40.76405959","-73.99825192","5","swamp white oak","Fair"
"206434","40.73849562","-73.98016522","9","Japanese zelkova","Good"
"174609","40.75026843","-73.97106454","2","bald cypress","Good"
"176894","40.73573368","-73.97922012","5","Japanese zelkova","Good"
"198999","40.7554199","-73.9813327","7","American linden","Good"
"195440","40.73484071","-73.999021","7","ginkgo","Good"
"202087","40.72737488","-73.99128365","11","Chinese elm","Poor"
"198743","40.755602","-73.98204242","7","ginkgo","Fair"
"199000","40.7553645","-73.98120058","8","American linden","Good"
"174285","40.75401368","-73.96830783","11","honeylocust","Good"
"175343","40.74736422","-73.98423968","4","Japanese zelkova","Good"
"204933","40.73563231","-73.97534314","8","honeylocust","Good"
"171664","40.7273485","-73.97657332","12","American linden","Good"
"210604","40.76701172","-73.98620828","10","honeylocust","Good"
"206351","40.73735138","-73.97938723","5","honeylocust","Good"
"206633","40.74021914","-73.98197197","6","honeylocust","Good"
"206635","40.74036637","-73.98186716","7","honeylocust","Good"
"196042","40.74541839","-73.98054599","3","honeylocust","Fair"
"206356","40.73770137","-73.98022467","9","honeylocust","Good"
"206706","40.73924143","-73.97841442","7","honeylocust","Good"
"206716","40.73884863","-73.97747324","2","honeylocust","Good"
"196043","40.7453711","-73.98058046","4","honeylocust","Good"
"206357","40.73774486","-73.98032872","14","honeylocust","Good"
"206709","40.73910253","-73.9780816","7","honeylocust","Good"
"174286","40.75405126","-73.96839764","10","honeylocust","Good"
"206349","40.73723705","-73.97911367","7","honeylocust","Good"
"206353","40.73755757","-73.97988058","10","honeylocust","Good"
"199001","40.75566058","-73.98384172","10","ginkgo","Good"
"196044","40.74532453","-73.98061441","5","honeylocust","Fair"
"206354","40.73760555","-73.97999538","12","honeylocust","Good"
"206707","40.73918558","-73.9782806","15","honeylocust","Good"
"217185","40.74809588","-73.98184469","3","northern red oak","Good"
"206348","40.73718762","-73.97899539","8","honeylocust","Good"
"196045","40.7452758","-73.98064993","5","honeylocust","Good"
"206717","40.73880902","-73.97737833","2",,
"210606","40.76689129","-73.9862978","6","honeylocust","Good"
"206358","40.73783262","-73.98053871","13","honeylocust","Good"
