"tree_id","latitude","longitude","tree_dbh","spc_common","health"
"178407","40.73306471","-73.97551777","20","London planetree","Poor"
"197456","40.74364861","-73.9808817","11","Callery pear","Fair"
"204931","40.73575265","-73.9756284","5","silver linden","Poor"
"190781","40.71537863","-73.99642276","4","cherry","Fair"
"195984","40.74487554","-73.98516089","6","Callery pear","Fair"
"195439","40.73482571","-73.99912487","19","London planetree","Fair"
"190778","40.71528042","-73.99644408","7","cherry","Good"
"196553","40.71194183","-73.99229337","19","London planetree","Fair"
"196552","40.71202303","-73.99230626","18","London planetree","Good"
"190784","40.71545583","-73.99637404","5","cherry","Good"
"202048","40.72734976","-73.99046234","4","katsura tree","Fair"
"190782","40.71541109","-73.99640327","4","cherry","Good"
"162821","40.72537677","-73.97833732","3","serviceberry","Good"
"173825","40.73586576","-74.00338902","6","American elm","Good"
"147349","40.74869764","-73.99479007","3","'Schubert' chokecherry","Good"
"196858","40.71654034","-73.99177917","4","Sophora","Good"
"190776","40.71522051","-73.99648007","15","London planetree","Good"
"190780","40.71534108","-73.99640764","18","London planetree","Good"
"182327","40.74516307","-73.99129258","6","Callery pear","Fair"
"173828","40.73562561","-74.00331934","8","littleleaf linden","Good"
"206512","40.73860106","-73.97878439","12","littleleaf linden","Good"
"196379","40.71648203","-73.991738","15","London planetree","Fair"
"206430","40.7383625","-73.9798443","9","Japanese zelkova","Good"
"195049","40.73729802","-73.98847247","3",,
"197455","40.74360835","-73.98078643","4","Japanese zelkova","Fair"
"178629","40.7471697","-73.97904057","7","littleleaf linden","Fair"
"206429","40.73832255","-73.97974799","9","Japanese zelkova","Good"
"202085","40.72755729","-73.99120012","10","Chinese elm","Fair"
"178627","40.74732116","-73.97892937","9","littleleaf linden","Good"
"203259","40.73337776","-73.98540436","3","littleleaf linden","Good"
"206510","40.73876673","-73.97917938","14","littleleaf linden","Good"
"192438","40.71928233","-73.99062855","11","littleleaf linden","Good"
"206432","40.73843281","-73.98001379","5","Japanese zelkova","Good"
"202086","40.72746746","-73.99124991","9","Chinese elm","Fair"
"176895","40.73565395","-73.97927663","3","Japanese zelkova","Fair"
"177826","40.72196977","-74.00040007","7","Chinese elm","Fair"
"203256","40.73364424","-73.98603694","4","littleleaf linden","Good"
"206370","40.73864","-73.98077282","3",,
"206511","40.73866786","-73.97894365","11","littleleaf linden","Good"
"220922","40.74449617","-73.97592239","0",,
"160748","40.73059462","-73.98608324","11","Japanese zelkova","Good"
"206509","40.73881312","-73.97928998","2","littleleaf linden","Good"
"202088","40.72730876","-73.99130776","10","Chinese elm","Good"
"171625","40.72812329","-73.97576559","2","honeylocust","Good"
"171626","40.72819295","-73.97571497","3","honeylocust","Good"
"202099","40.72646883","-73.9883804","15","Sophora","Good"
"202106","40.72608553","-73.98747475","20","Sophora","Good"
"206310","40.73702335","-73.97913065","5","littleleaf linden","Good"
"206434","40.73849562","-73.98016522","9","Japanese zelkova","Good"
"154789","40.71601942","-73.97617504","2","paperbark maple","Fair"
"196859","40.7165803","-73.99175898","3","cherry","Good"
"201416","40.72257271","-73.99060928","4","cherry","Fair"
"176894","40.73573368","-73.97922012","5","Japanese zelkova","Good"
"195440","40.73484071","-73.999021","7","ginkgo","Good"
"202087","40.72737488","-73.99128365","11","Chinese elm","Poor"
"175343","40.74736422","-73.98423968","4","Japanese zelkova","Good"
"191476","40.72113404","-73.98271689","16","honeylocust","Good"
"204933","40.73563231","-73.97534314","8","honeylocust","Good"
"171664","40.7273485","-73.97657332","12","American linden","Good"
"206351","40.73735138","-73.97938723","5","honeylocust","Good"
"206633","40.74021914","-73.98197197","6","honeylocust","Good"
"206635","40.74036637","-73.98186716","7","honeylocust","Good"
"196042","40.74541839","-73.98054599","3","honeylocust","Fair"
"206356","40.73770137","-73.98022467","9","honeylocust","Good"
"206706","40.73924143","-73.97841442","7","honeylocust","Good"
"206716","40.73884863","-73.97747324","2","honeylocust","Good"
"196043","40.7453711","-73.98058046","4","honeylocust","Good"
"206357","40.73774486","-73.98032872","14","honeylocust","Good"
"206709","40.73910253","-73.9780816","7","honeylocust","Good"
"206349","40.73723705","-73.97911367","7","honeylocust","Good"
